scheme,village,month,month_lab,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,hedges_g,p_welch,ci_low,ci_high,n_recent,n_base
idw4,Mandena,1,Jan,2018-2022,2013-2017,tmean_c,23.9714404246975,23.8401406099486,0.131299814748971,0.550751008130292,0.301500119639954,0.617993562585622,-0.316008392619286,0.571838909155083,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,tmax_c,28.5797228271505,28.5038124053512,0.0759104217993354,0.266316732371857,0.117988812534982,0.842131031692973,-0.555608484702728,0.742023991302482,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,rh_mean,87.6026284338465,87.5050509517854,0.0975774820611122,0.111510685383038,0.0376848506283908,0.949021697105417,-2.55794561773921,2.51062281931429,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,vpd_kpa,0.426754239340863,0.431770373884582,-0.00501613454371819,-1.16175977953019,-0.0534103631210106,0.927838251625518,-0.0903610636470397,0.0952614153061173,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,ssrd_MJ_day,1.39672076877797e-05,1.64124316364398e-05,-2.44522394866013e-06,-14.8986085841851,-0.311549912320597,0.606024429714174,-1.08547058676359e-05,4.5623584608801e-06,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,wbgt28_h,13,13.2,-0.199999999999999,-1.51515151515151,-0.019936767977499,0.973028342016321,-9.6,9.8,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,tmean_c,23.9714404246975,23.7323277802288,0.239112644468783,1.00753978574317,0.712012607697003,0.254089057647776,-0.0889260199530008,0.562360192385146,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,tmax_c,28.5797228271505,28.6561685815404,-0.0764457543898978,-0.266768930299852,-0.125384395453816,0.832163512669393,-0.682122604744523,0.553372386739336,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,rh_mean,87.6026284338465,88.7097230742154,-1.10709464036893,-1.24799695231009,-0.472760946056952,0.432840436036116,-3.47641168968099,1.24271692812022,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,vpd_kpa,0.426754239340863,0.389611101652579,0.0371431376882847,9.53338791701211,0.427132456006822,0.477930560829671,-0.0465232768401403,0.124961894962532,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,ssrd_MJ_day,1.39672076877797e-05,1.4498529408505e-05,-5.31321720725351e-07,-3.66465939927446,-0.0540082681646372,0.927005168972348,-1.11419223934287e-05,9.49372355581471e-06,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,wbgt28_h,13,11.4,1.6,14.0350877192982,0.171630000034385,0.77149681709933,-7.8,11,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,tmean_c,23.9714404246975,23.5959133280333,0.375527096664261,1.59149210053299,1.18897685684138,0.0753333559742556,0.0892319088728577,0.715597338085417,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,tmax_c,28.5797228271505,28.1274151216185,0.452307705532082,1.60806708891086,0.697729381051625,0.260945433095382,-0.171905818039472,1.12050990008386,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,rh_mean,87.6026284338465,89.4262818152556,-1.82365338140909,-2.03928123186039,-0.876804751888781,0.173527868191604,-4.06484549874921,0.0934898104760606,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,vpd_kpa,0.426754239340863,0.357478174377394,0.0692760649634691,19.379103377185,0.885173936952853,0.17355688546703,-0.00419299747088392,0.155174862078713,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,ssrd_MJ_day,1.39672076877797e-05,1.84921710506704e-05,-4.52496336289075e-06,-24.4696166312322,-0.385298312067553,0.520391554354343,-1.62589667808216e-05,6.78206252860771e-06,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,wbgt28_h,13,10.6,2.4,22.6415094339623,0.274419699467832,0.644082026686725,-5.4,12,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,wbgt31_h,0,0.2,-0.2,-100,-0.571250157965901,0.373900966300059,-0.6,0,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,tmean_c,24.0636552082583,23.9895018924456,0.0741533158126977,0.309107359315572,0.196410125105512,0.741810817667107,-0.317772884005934,0.461372074197173,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,tmax_c,29.1056301075666,28.6837927828961,0.421837324670484,1.47064695336254,0.613055232711503,0.317494783314487,-0.239033374267853,1.09926148399753,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,rh_mean,86.8033538327011,88.8808980878027,-2.0775442551016,-2.33744741535944,-1.17187102466622,0.0757170426163569,-3.99670275878918,-0.377058280070193,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,vpd_kpa,0.462151348205589,0.389135993262392,0.0730153549431973,18.7634544754033,1.02857212806443,0.110477422659229,0.0069806047911775,0.147543511844098,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,ssrd_MJ_day,7.43310100856912e-06,4.68161434623477e-06,2.75148666233435e-06,58.7721768356946,0.439983958632106,0.463489009114088,-3.2428618520061e-06,9.58592096732711e-06,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,wbgt28_h,12,11.8,0.199999999999999,1.69491525423728,0.0353594970890573,0.95228809725552,-5.6,5.4,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,tmean_c,24.0636552082583,23.8444050288392,0.219250179419078,0.919503670374244,0.619525511422917,0.314736148121255,-0.129516335361881,0.572490437723059,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,tmax_c,29.1056301075666,28.6314779132721,0.474152194294454,1.65605211065497,0.818485138749962,0.189856446024205,-0.064131002546314,1.06855311394579,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,rh_mean,86.8033538327011,87.8007219649204,-0.997368132219265,-1.13594525181439,-0.701090781811532,0.278810893622717,-2.512880029211,0.267206883039318,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,vpd_kpa,0.462151348205589,0.417888318132566,0.0442630300730236,10.5920716498665,0.773749158689634,0.234613468397908,-0.00599841384393635,0.104644670881948,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,ssrd_MJ_day,7.43310100856912e-06,8.71138685070899e-06,-1.27828584213987e-06,-14.6737352392499,-0.162603960484922,0.783820393677341,-9.68320326123726e-06,5.9946897994825e-06,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,wbgt28_h,12,13.2,-1.2,-9.09090909090909,-0.231873897978109,0.695696081246352,-6,4.2,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,tmean_c,24.0636552082583,23.8278184577894,0.235836750468938,0.989753849630502,0.577281417262533,0.350500634655464,-0.175217119439524,0.637611488428016,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,tmax_c,29.1056301075666,28.7070958869174,0.3985342206492,1.38827773529967,0.525613800431652,0.389351410130658,-0.327855509226981,1.17713459176736,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,rh_mean,86.8033538327011,88.7628923234232,-1.95953849072207,-2.20761000394415,-0.909534138334085,0.151353621624055,-3.94158375354804,0.25496764881867,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,vpd_kpa,0.462151348205589,0.390712031026525,0.0714393171790645,18.2843914458868,0.873011444085156,0.165541574030118,-0.00976359171931739,0.154035791647666,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,ssrd_MJ_day,7.43310100856912e-06,6.62538839022239e-06,8.07712618346724e-07,12.1911738719911,0.149042155586011,0.802075734482353,-4.38268231475771e-06,6.38026380269271e-06,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,wbgt28_h,12,14.6,-2.6,-17.8082191780822,-0.257924394816469,0.670572237620715,-12.8,7,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,3,Mar,2018-2022,2013-2017,tmean_c,23.7859460763474,23.787876876832,-0.0019308004845584,-0.00811674154257497,-0.00515152224180648,0.993100080266697,-0.404812224597844,0.343106303677353,5,5
idw4,Mandena,3,Mar,2018-2022,2013-2017,tmax_c,28.3607334627754,28.1917545974089,0.168978865366554,0.599391090691764,0.308091505339269,0.604954501893607,-0.355372766794467,0.713085319158466,5,5
idw4,Mandena,3,Mar,2018-2022,2013-2017,rh_mean,87.947065894903,87.443653298612,0.503412596291057,0.575699410192698,0.634334887669973,0.315815509765363,-0.35092338846394,1.19561164910722,5,5
idw4,Mandena,3,Mar,2018-2022,2013-2017,vpd_kpa,0.406928065932665,0.422678779138749,-0.0157507132060848,-3.72640264509575,-0.501883509170052,0.415411220697104,-0.0450745808910724,0.0173875223297016,5,5
idw4,Mandena,3,Mar,2018-2022,2013-2017,ssrd_MJ_day,-5.17526669500947e-06,-6.68169186365243e-06,1.50642516864295e-06,-22.5455647968102,0.167567240154719,0.781004821970471,-7.0305396758616e-06,1.06983163262814e-05,5,5
